user_id,global_AUC,global_TPR,global_FPR,cal_AUC,cal_TPR,cal_FPR,delta_TPR,delta_FPR,cal_a,cal_b,tau
0,0.988189201555708,0.9468085106382979,0.021505376344086023,0.988189201555708,0.9468085106382979,0.021505376344086023,0.0,0.0,1.0675651119420846,-0.6209584449375091,0.48
1,0.9965407338308457,0.984375,0.017412935323383085,0.9965407338308457,0.984375,0.009950248756218905,0.0,-0.00746268656716418,1.0736274603454614,-0.6198413317843392,0.51
2,0.9670040485829959,0.8947368421052632,0.03333333333333333,0.9670040485829959,0.8947368421052632,0.03333333333333333,0.0,0.0,1.0835656933933728,-0.5821571800504907,0.5
3,0.9695213163799552,0.8690476190476191,0.020942408376963352,0.9695213163799552,0.8690476190476191,0.013089005235602094,0.0,-0.007853403141361258,1.096421302448003,-0.5732683410915144,0.5700000000000001
4,0.9977732793522267,0.9736842105263158,0.02564102564102564,0.9977732793522267,0.9605263157894737,0.01282051282051282,-0.013157894736842146,-0.01282051282051282,1.0752290068568167,-0.6060126564552794,0.55
5,0.9929676511954993,0.8987341772151899,0.007751937984496124,0.9929676511954993,0.8987341772151899,0.007751937984496124,0.0,0.0,1.06209990486367,-0.632435144718971,0.46
6,0.997919863597613,0.9333333333333333,0.015345268542199489,0.997919863597613,0.8933333333333333,0.0025575447570332483,-0.040000000000000036,-0.01278772378516624,1.0725426794778785,-0.5971438153275453,0.56
7,0.9941386010362694,0.925,0.025906735751295335,0.9941386010362694,0.925,0.02072538860103627,0.0,-0.005181347150259065,1.0712030435518796,-0.5989360355149494,0.5
8,0.9808644688644688,0.9340659340659341,0.013333333333333334,0.9808644688644688,0.9340659340659341,0.016,0.0,0.002666666666666666,1.070580302298625,-0.6199022263624957,0.46
9,0.9766895325203251,0.8780487804878049,0.0234375,0.9766895325203251,0.8780487804878049,0.0234375,0.0,0.0,1.0884159691248514,-0.5908188074846485,0.47000000000000003
10,0.9935835931878149,0.9659090909090909,0.013192612137203167,0.9935835931878149,0.9431818181818182,0.0079155672823219,-0.022727272727272707,-0.005277044854881266,1.0537841123158829,-0.6336423382411482,0.49
11,0.9978409499820079,0.9571428571428572,0.012594458438287154,0.9978409499820079,0.9571428571428572,0.010075566750629723,0.0,-0.0025188916876574315,1.0768355249235566,-0.6030241576253188,0.49
12,0.9988618580167876,0.9859154929577465,0.020202020202020204,0.9988618580167876,0.971830985915493,0.020202020202020204,-0.014084507042253502,0.0,1.0762387931380004,-0.6036763049115834,0.5
13,0.9986013986013986,0.974025974025974,0.015384615384615385,0.9986013986013986,0.961038961038961,0.005128205128205128,-0.012987012987012991,-0.010256410256410258,1.0597701215194275,-0.6185790526638761,0.53
14,0.9966097358152626,0.9259259259259259,0.015544041450777202,0.9966097358152626,0.9259259259259259,0.015544041450777202,0.0,0.0,1.0725191153657287,-0.6039175683912733,0.5
15,0.9996837444655282,0.989247311827957,0.016042780748663103,0.9996837444655282,0.989247311827957,0.016042780748663103,0.0,0.0,1.0761569841624965,-0.5915129101264516,0.5
16,0.9963322143478801,0.9761904761904762,0.018276762402088774,0.9963322143478801,0.9761904761904762,0.010443864229765013,0.0,-0.00783289817232376,1.08458312378773,-0.5792406996936021,0.56
17,0.9924611973392462,0.9390243902439024,0.01818181818181818,0.9924611973392462,0.926829268292683,0.012987012987012988,-0.012195121951219412,-0.005194805194805193,1.0671523780442629,-0.6147406013554263,0.51
18,0.9917796184738956,0.9156626506024096,0.010416666666666666,0.9917796184738956,0.9156626506024096,0.0078125,0.0,-0.002604166666666666,1.0834828210678458,-0.5851537738080581,0.49
19,0.994523986081798,0.925531914893617,0.00804289544235925,0.994523986081798,0.925531914893617,0.00804289544235925,0.0,0.0,1.074289668004369,-0.6029863972590832,0.47000000000000003
20,0.9924468481909736,0.9642857142857143,0.020887728459530026,0.9924468481909736,0.9642857142857143,0.020887728459530026,0.0,0.0,1.0772483929839678,-0.5869944098457016,0.49
21,0.9982728842832469,0.9876543209876543,0.025906735751295335,0.9982728842832469,0.9629629629629629,0.0025906735751295338,-0.024691358024691357,-0.023316062176165803,1.0731924417630812,-0.599190648306527,0.59
22,0.9944402985074627,0.9552238805970149,0.0225,0.9944402985074627,0.9253731343283582,0.015,-0.02985074626865669,-0.0075,1.0863112765045118,-0.5829262370433804,0.56
23,0.9830598035558871,0.9285714285714286,0.007832898172323759,0.9830598035558871,0.9404761904761905,0.010443864229765013,0.011904761904761862,0.002610966057441254,1.0858813809409968,-0.569126326443719,0.47000000000000003
24,0.9953579533732205,0.9054054054054054,0.010178117048346057,0.9953579533732205,0.918918918918919,0.010178117048346057,0.013513513513513598,0.0,1.080608769846358,-0.6013569697172922,0.46
25,0.9802021365061089,0.9135802469135802,0.015544041450777202,0.9802021365061089,0.9135802469135802,0.007772020725388601,0.0,-0.007772020725388601,1.0756316887513637,-0.604348087918783,0.5
26,0.9965519291361988,0.9550561797752809,0.023809523809523808,0.9965519291361988,0.9550561797752809,0.021164021164021163,0.0,-0.0026455026455026454,1.0551747736371366,-0.6348867444763088,0.52
27,0.9864382824067843,0.881578947368421,0.017902813299232736,0.9864382824067843,0.881578947368421,0.017902813299232736,0.0,0.0,1.1051400705965835,-0.5547987433749738,0.5
28,0.9814906067138897,0.9294117647058824,0.015706806282722512,0.9814906067138897,0.9176470588235294,0.005235602094240838,-0.01176470588235301,-0.010471204188481674,1.0826882202157284,-0.5826599929165314,0.58
29,0.9954841178721776,0.9692307692307692,0.022388059701492536,0.9954841178721776,0.9538461538461539,0.022388059701492536,-0.01538461538461533,0.0,1.0864867976508903,-0.5703449661323133,0.51
30,0.995922283521228,0.9431818181818182,0.0079155672823219,0.995922283521228,0.9659090909090909,0.010554089709762533,0.022727272727272707,0.0026385224274406323,1.0920743915513997,-0.580008473812677,0.46
31,0.9959580511251912,0.9565217391304348,0.01507537688442211,0.9959580511251912,0.9565217391304348,0.01507537688442211,0.0,0.0,1.081608194898024,-0.5983527751809803,0.5
32,0.9946938775510205,0.9466666666666667,0.017857142857142856,0.9946938775510205,0.9333333333333333,0.015306122448979591,-0.013333333333333308,-0.0025510204081632647,1.0753090225001614,-0.5995414569243406,0.5
33,0.9882940108892921,0.9425287356321839,0.007894736842105263,0.9882940108892921,0.9425287356321839,0.007894736842105263,0.0,0.0,1.0942454675341378,-0.5728120116433083,0.5
34,0.9895328275626033,0.9574468085106383,0.0160857908847185,0.9895328275626033,0.9468085106382979,0.00804289544235925,-0.010638297872340496,-0.00804289544235925,1.076454572368675,-0.6078441006211336,0.55
35,0.9744404113732608,0.9195402298850575,0.021052631578947368,0.9744404113732608,0.9195402298850575,0.018421052631578946,0.0,-0.0026315789473684223,1.0803237867115605,-0.6037602956606833,0.5
36,0.9921144159270808,0.9204545454545454,0.018469656992084433,0.9921144159270808,0.9318181818181818,0.023746701846965697,0.011363636363636354,0.005277044854881265,1.0772490271212158,-0.5946835017581246,0.47000000000000003
37,0.9972193256864791,0.9821428571428571,0.029197080291970802,0.9972193256864791,0.9821428571428571,0.021897810218978103,0.0,-0.007299270072992699,1.078163528192639,-0.5945665904562191,0.5
38,0.9891977385920043,0.881578947368421,0.015345268542199489,0.9891977385920043,0.8421052631578947,0.0076726342710997444,-0.03947368421052633,-0.0076726342710997444,1.0804405570993383,-0.5841165039977777,0.59
39,0.9862726098191215,0.8875,0.03359173126614987,0.9862726098191215,0.8875,0.00516795865633075,0.0,-0.028423772609819122,1.0478637622061648,-0.6424810708205735,0.58
40,0.997057506556643,0.9753086419753086,0.007772020725388601,0.997057506556643,0.9753086419753086,0.007772020725388601,0.0,0.0,1.0799799353539004,-0.6031132983728019,0.5
41,0.9819913871851755,0.9113924050632911,0.020618556701030927,0.9819913871851755,0.9113924050632911,0.023195876288659795,0.0,0.0025773195876288672,1.0760673063368085,-0.5984118154515053,0.48
42,0.9938697318007663,0.9555555555555556,0.013262599469496022,0.9938697318007663,0.9555555555555556,0.010610079575596816,0.0,-0.0026525198938992054,1.070266546740531,-0.6085828990827942,0.51
43,0.9919908466819223,0.9210526315789473,0.02557544757033248,0.9919908466819223,0.9210526315789473,0.020460358056265986,0.0,-0.005115089514066494,1.099741852001194,-0.5728292420466556,0.53
44,0.9969312602291326,0.978021978021978,0.026595744680851064,0.9969312602291326,0.978021978021978,0.02925531914893617,0.0,0.0026595744680851068,1.0833822681697554,-0.5792771145314921,0.48
45,0.9974093264248705,0.9382716049382716,0.018134715025906734,0.9974093264248705,0.9382716049382716,0.018134715025906734,0.0,0.0,1.1006945117771276,-0.5633063716391107,0.5
46,0.9808191808191808,0.9090909090909091,0.005128205128205128,0.9808191808191808,0.8831168831168831,0.0,-0.025974025974025983,-0.005128205128205128,1.0662123586421823,-0.6083076965244638,0.59
